Text,URL
['[SALAH] Darah Orang yang Divaksin Covid-19 Menjadi Tidak Normal dan Tidak Bisa Donor Darah'],https://turnbackhoax.id/2021/10/14/salah-darah-orang-yang-divaksin-covid-19-menjadi-tidak-normal-dan-tidak-bisa-donor-darah/
['[SALAH]: Situs Pedulilindungiq.com dan Minta Dana Rp1 Juta Untuk Vaksin Covid-19'],https://turnbackhoax.id/2021/10/10/salah-situs-pedulilindungiq-com-dan-minta-dana-rp1-juta-untuk-vaksin-covid-19/
['[SALAH] Covid-19 adalah Rencana Depopulasi Dunia'],https://turnbackhoax.id/2021/10/08/salah-covid-19-adalah-rencana-depopulasi-dunia/
['[SALAH] Foto PM Singapura Mengantre Vaksin Covid-19'],https://turnbackhoax.id/2021/10/06/salah-foto-pm-singapura-mengantre-vaksin-covid-19/
['[SALAH] Vaksin Covid-19 Dapat Mengubah Warna Darah'],https://turnbackhoax.id/2021/09/30/salah-vaksin-covid-19-dapat-mengubah-warna-darah/
['[SALAH] Mengonsumsi Labu Kuning Dapat Menyembuhkan Covid-19'],https://turnbackhoax.id/2021/09/22/salah-mengonsumsi-labu-kuning-dapat-menyembuhkan-covid-19/
['[SALAH] Muammar Gaddafi Prediksi Covid-19'],https://turnbackhoax.id/2021/09/04/salah-muammar-gaddafi-prediksi-covid-19/
['[SALAH] Obat Covid-19 Molnulpiravir Mulai Beredar September Mendatang'],https://turnbackhoax.id/2021/09/03/salah-obat-covid-19-molnulpiravir-mulai-beredar-september-mendatang/
"['[SALAH] Campuran Air Kelapa Muda, Jeruk Nipis, Garam, dan Madu dapat Mengobati Covid-19']",https://turnbackhoax.id/2021/08/30/salah-campuran-air-kelapa-muda-jeruk-nipis-garam-dan-madu-dapat-mengobati-covid-19/
['[SALAH] Pesan Berantai dari Ketua Satgas Covid-19 Dwiyono terkait Metode Menghirup Uap Air Panas untuk Membunuh Virus Corona'],https://turnbackhoax.id/2021/08/23/salah-pesan-berantai-dari-ketua-satgas-covid-19-dwiyono-terkait-metode-menghirup-uap-air-panas-untuk-membunuh-virus-corona/
['[SALAH] Oseltamivir Obat Covid-19 Berbahaya dan Mematikan'],https://turnbackhoax.id/2021/08/20/salah-oseltamivir-obat-covid-19-berbahaya-dan-mematikan/
['[SALAH] Sertifikat Vaksin Covid-19 Bukan Syarat Administrasi'],https://turnbackhoax.id/2021/08/20/salah-sertifikat-vaksin-covid-19-bukan-syarat-administrasi/
['[SALAH] Tidak Boleh Mengonsumsi Makanan dan Minuman yang Mengandung Alkohol dan Soda setelah Vaksin Covid-19'],https://turnbackhoax.id/2021/08/15/salah-tidak-boleh-mengonsumsi-makanan-dan-minuman-yang-mengandung-alkohol-dan-soda-setelah-vaksin-covid-19/
['[SALAH] Rockefeller Foundation Telah Rencanakan Skenario Pandemi Covid-19 Sejak 2010'],https://turnbackhoax.id/2021/08/14/salah-rockefeller-foundation-telah-rencanakan-skenario-pandemi-covid-19-sejak-2010/
['[SALAH] Covid-19 Bermutasi Menjadi Virus Baru yang Lebih Berbahaya dan Vaksinasi Timbulkan Virus Lain Dari Covid-19'],https://turnbackhoax.id/2021/08/08/salah-covid-19-bermutasi-menjadi-virus-baru-yang-lebih-berbahaya-dan-vaksinasi-timbulkan-virus-lain-dari-covid-19/
['[SALAH] Dokumen Bank Dunia Tetapkan Covid-19 Sampai Tahun 2025'],https://turnbackhoax.id/2021/08/08/salah-dokumen-bank-dunia-tetapkan-covid-19-sampai-tahun-2025/
"['[SALAH] Semua Pasien Positif Covid-19 di New South Wales, Australia Sudah Divaksinasi']",https://turnbackhoax.id/2021/08/07/salah-semua-pasien-positif-covid-19-di-new-south-wales-australia-sudah-divaksinasi/
['[SALAH] Dukun Meninggal karena Covid-19 Setelah Menghirup Napas Pasien Covid-19'],https://turnbackhoax.id/2021/08/05/salah-dukun-meninggal-karena-covid-19-setelah-menghirup-napas-pasien-covid-19/
['[SALAH] Foto Jadwal Perilisan Varian Covid-19'],https://turnbackhoax.id/2021/08/01/salah-foto-jadwal-perilisan-varian-covid-19/
