Text,Kategori,URL
"[""Viral 'Bocoran' Rachel Vennya Jadi Duta Karantina, Kemenkes Bilang Begini""]","<span class=""category"">detikHealth</span>",https://health.detik.com/berita-detikhealth/d-5769581/viral-bocoran-rachel-vennya-jadi-duta-karantina-kemenkes-bilang-begini
['Satgas Bantah Isu Rachel Vennya Jadi Duta COVID-19: Tidak Benar!'],"<span class=""category"">detikNews</span>",https://news.detik.com/berita/d-5769511/satgas-bantah-isu-rachel-vennya-jadi-duta-covid-19-tidak-benar
['Kebo Bule di Ponorogo Bakal Dibuatkan Kandang di Taman Wengker'],"<span class=""category"">detikNews</span>",https://news.detik.com/berita-jawa-timur/d-5769493/kebo-bule-di-ponorogo-bakal-dibuatkan-kandang-di-taman-wengker
"['Barisan Celeng Berjuang, Keberanian Akar Rumput PDIP Lawan Elite Partai']","<span class=""category"">detikNews</span>",https://news.detik.com/berita-jawa-tengah/d-5769363/barisan-celeng-berjuang-keberanian-akar-rumput-pdip-lawan-elite-partai
"['Kerumunan di Subway Citos, Pimpinan Komisi IX DPR Minta Aparat Proaktif']","<span class=""category"">detikNews</span>",https://news.detik.com/berita/d-5769361/kerumunan-di-subway-citos-pimpinan-komisi-ix-dpr-minta-aparat-proaktif
"['Corona Singapura Nanjak Lagi, Jumlah Pasien di ICU Cetak Rekor Baru']","<span class=""category"">detikHealth</span>",https://health.detik.com/berita-detikhealth/d-5769309/corona-singapura-nanjak-lagi-jumlah-pasien-di-icu-cetak-rekor-baru
['Cek! Aturan Baru Masuk RI Lewat Bandara Soekarno Hatta-Ngurah Rai'],"<span class=""category"">detikFinance</span>",https://finance.detik.com/berita-ekonomi-bisnis/d-5769278/cek-aturan-baru-masuk-ri-lewat-bandara-soekarno-hatta-ngurah-rai
['Indonesia dan Turki Setuju Produksi Bareng Paracetamol'],"<span class=""category"">detikHealth</span>",https://health.detik.com/berita-detikhealth/d-5769293/indonesia-dan-turki-setuju-produksi-bareng-paracetamol
"['Turis 19 Negara Boleh ke Bali, Ini Aturan Masuk Bandara Ngurah Rai']","<span class=""category"">detikFinance</span>",https://finance.detik.com/berita-ekonomi-bisnis/d-5769160/turis-19-negara-boleh-ke-bali-ini-aturan-masuk-bandara-ngurah-rai
"['Kasus Corona Turun, India Buka Pintu untuk Turis Asing']","<span class=""category"">detikTravel</span>",https://travel.detik.com/travel-news/d-5769082/kasus-corona-turun-india-buka-pintu-untuk-turis-asing
['Meledak Puluhan Ribu Kasus Corona di Rusia tapi Lockdown Ditolak'],"<span class=""category"">detikNews</span>",https://news.detik.com/internasional/d-5769039/meledak-puluhan-ribu-kasus-corona-di-rusia-tapi-lockdown-ditolak
['Cak Imin Dukung Upaya Integrasi Akses Data PeduliLindungi untuk Umrah'],"<span class=""category"">detikNews</span>",https://news.detik.com/berita/d-5768947/cak-imin-dukung-upaya-integrasi-akses-data-pedulilindungi-untuk-umrah
"['Dukung Kunjungan Wisata, Daop 9 Jember Kembali Operasikan KA Mutiara Timur']","<span class=""category"">detikNews</span>",https://news.detik.com/berita-jawa-timur/d-5768899/dukung-kunjungan-wisata-daop-9-jember-kembali-operasikan-ka-mutiara-timur
"['Warga Baduy Divaksin COVID, LaNyalla: Semua Harus Diberi Hak yang Sama']","<span class=""category"">detikNews</span>",https://news.detik.com/berita/d-5768772/warga-baduy-divaksin-covid-lanyalla-semua-harus-diberi-hak-yang-sama
['2.900 Personel TNI-Polri Amankan Penutupan PON XX Papua'],"<span class=""category"">detikNews</span>",https://news.detik.com/berita/d-5768790/2900-personel-tni-polri-amankan-penutupan-pon-xx-papua
['Sudah Tak Sabar Ngampus? Pemda DIY : Tunggu Semester Baru'],"<span class=""category"">detikEdu</span>",https://www.detik.com/edu/perguruan-tinggi/d-5768611/sudah-tak-sabar-ngampus-pemda-diy--tunggu-semester-baru
['Cek Sekarang! 5 Pemenang Foto Frame Detik Ini Sudah Vaksin Minggu Ini'],"<span class=""category"">detikHealth</span>",https://health.detik.com/berita-detikhealth/d-5768513/cek-sekarang-5-pemenang-foto-frame-detik-ini-sudah-vaksin-minggu-ini
['5 Kabupaten yang Bakal Dapat Jatah Vaksin Johnson & Johnson'],"<span class=""category"">detikHealth</span>",https://health.detik.com/detiktv/d-5768471/5-kabupaten-yang-bakal-dapat-jatah-vaksin-johnson--johnson
['Dinkes Tulungagung Mulai Gunakan Vaksin Pfizer untuk Pelajar'],"<span class=""category"">detikNews</span>",https://news.detik.com/berita-jawa-timur/d-5768460/dinkes-tulungagung-mulai-gunakan-vaksin-pfizer-untuk-pelajar
"['Subway Ramai Pengunjung, Pakar Khawatir Muncul Penularan COVID-19 Lagi']","<span class=""category"">detikHealth</span>",https://health.detik.com/berita-detikhealth/d-5768397/subway-ramai-pengunjung-pakar-khawatir-muncul-penularan-covid-19-lagi
"['WNA yang mau ke Indonesia Wajib Apply Visa, Ini Kegiatan yang Dibolehkan']","<span class=""category"">detikTravel</span>",https://travel.detik.com/travel-news/d-5768393/wna-yang-mau-ke-indonesia-wajib-apply-visa-ini-kegiatan-yang-dibolehkan
['Gambaran Vaksinasi Booster 2022 dengan Vaksin Merah Putih Unair'],"<span class=""category"">detikNews</span>",https://news.detik.com/berita-jawa-timur/d-5768381/gambaran-vaksinasi-booster-2022-dengan-vaksin-merah-putih-unair
['353 Bidan Desa di Sidoarjo Bantu Percepatan Vaksinasi Lansia'],"<span class=""category"">detikNews</span>",https://news.detik.com/berita-jawa-timur/d-5768384/353-bidan-desa-di-sidoarjo-bantu-percepatan-vaksinasi-lansia
"['Tinjau Vaksinasi di Surabaya, Kapolri Minta Titik Terjauh Didatangi']","<span class=""category"">detikNews</span>",https://news.detik.com/berita/d-5768319/tinjau-vaksinasi-di-surabaya-kapolri-minta-titik-terjauh-didatangi
['Vaksin Merah Putih Unair Disebut Bisa untuk Vaksinasi Booster Tahun 2022'],"<span class=""category"">detikNews</span>",https://news.detik.com/berita-jawa-timur/d-5768281/vaksin-merah-putih-unair-disebut-bisa-untuk-vaksinasi-booster-tahun-2022
['91 Persen Warga Dewasa di Malaysia Telah Divaksin Lengkap'],"<span class=""category"">detikNews</span>",https://news.detik.com/internasional/d-5768244/91-persen-warga-dewasa-di-malaysia-telah-divaksin-lengkap
['Bamsoet Minta Kemendagri Kaji Ulang soal Aturan Resepsi Pernikahan'],"<span class=""category"">detikNews</span>",https://news.detik.com/berita/d-5768174/bamsoet-minta-kemendagri-kaji-ulang-soal-aturan-resepsi-pernikahan
"['Sri Mulyani Datangi Kantor IMF di AS, Mau Ngapain Bu?']","<span class=""category"">detikFinance</span>",https://finance.detik.com/berita-ekonomi-bisnis/d-5768171/sri-mulyani-datangi-kantor-imf-di-as-mau-ngapain-bu
['Vaksin COVID-19 Johnson and Johnson Sekali Suntik Disebar ke 5 Wilayah Ini'],"<span class=""category"">detikHealth</span>",https://health.detik.com/berita-detikhealth/d-5768169/vaksin-covid-19-johnson-and-johnson-sekali-suntik-disebar-ke-5-wilayah-ini
['Paling Beda! Maskapai Lakukan Vaksinasi di Pesawat'],"<span class=""category"">detikTravel</span>",https://travel.detik.com/travel-news/d-5768148/paling-beda-maskapai-lakukan-vaksinasi-di-pesawat
"['Singapura Catat Rekor Kematian Corona, Korban Termuda Usia 23 Tahun']","<span class=""category"">detikNews</span>",https://news.detik.com/internasional/d-5768051/singapura-catat-rekor-kematian-corona-korban-termuda-usia-23-tahun
['Hijabers Pemimpin Organisasi Muslim Terbesar Jadi 25 Wanita Berpengaruh 2021'],"<span class=""category"">Wolipop</span>",https://wolipop.detik.com/hijab-profile/d-5767945/hijabers-pemimpin-organisasi-muslim-terbesar-jadi-25-wanita-berpengaruh-2021
['Personel Angkatan Laut AS Akan Dipecat Jika Tak Mau Divaksin!'],"<span class=""category"">detikNews</span>",https://news.detik.com/internasional/d-5767921/personel-angkatan-laut-as-akan-dipecat-jika-tak-mau-divaksin
"['India Kembali Gelar Festival Keagamaan, Nggak Takut COVID-19 Balik?']","<span class=""category"">detikHealth</span>",https://health.detik.com/berita-detikhealth/d-5767785/india-kembali-gelar-festival-keagamaan-nggak-takut-covid-19-balik
"['Catat, Ini Persyaratan Terbang dengan Maskapai Citilink']","<span class=""category"">detikTravel</span>",https://travel.detik.com/travel-news/d-5767657/catat-ini-persyaratan-terbang-dengan-maskapai-citilink
"['Corona Menggila, Rusia Catat Rekor 31 Ribu Kasus Sehari!']","<span class=""category"">detikNews</span>",https://news.detik.com/internasional/d-5767742/corona-menggila-rusia-catat-rekor-31-ribu-kasus-sehari
['Mau Terbang Naik Garuda Indonesia? Simak Persyaratannya'],"<span class=""category"">detikTravel</span>",https://travel.detik.com/travel-news/d-5767655/mau-terbang-naik-garuda-indonesia-simak-persyaratannya
