Tweet,Source Type,Source URL
@klep00n pulang vaksin malah ngedorong motor lumayan jauh pas pulang sakit badan:(,Twitter for Android,badan:(
Kalian udh vaksin?,Twitter for Android,vaksin?
Tidak perlu nunggu dan tidak perlu mikir . Buruan ke sentra vaksin #VaksinasiMerata https://t.co/Htr6wYd37b,Twitter for Android,https://t.co/Htr6wYd37b
"Alhamdulillah saya sudah vaksin lengkap, mari kita jalankan prokes, abis keluwar rumah langsung mandi keramas😂 pake masker double🙏🇲🇨 https://t.co/Mgx5RYSMO9",Twitter for Android,https://t.co/Mgx5RYSMO9
"Masyarakat Harus Waspada Terhadap Hasutan dan Provokasi Dari Kelompok-Kelompok Eks HTI, FPI Dan Ormas Anti Pancasila Yang Ingin Mengganggu Keamanan dan Ketertiban Masyarakat..!!

Vaksin Sukseskan PON https://t.co/EuuhkI87VV",Twitter Web App,https://t.co/EuuhkI87VV
Epidemiolog Nilai Vaksin Booster untuk Umum Belum Terlalu Penting https://t.co/BM6T1aidH9,Jawapos.com auto tweet,https://t.co/BM6T1aidH9
"Masyarakat Harus Waspada Terhadap Hasutan dan Provokasi Dari Kelompok-Kelompok Eks HTI, FPI Dan Ormas Anti Pancasila Yang Ingin Mengganggu Keamanan dan Ketertiban Masyarakat..!!

Vaksin Sukseskan PON https://t.co/a3dAnGCjrB",Twitter Web App,https://t.co/a3dAnGCjrB
"Masyarakat Harus Waspada Terhadap Hasutan dan Provokasi Dari Kelompok-Kelompok Eks HTI, FPI Dan Ormas Anti Pancasila Yang Ingin Mengganggu Keamanan dan Ketertiban Masyarakat..!!

Vaksin Sukseskan PON https://t.co/ivyqWkz38D",Twitter Web App,https://t.co/ivyqWkz38D
"Ngga usah pilah-pilih jenis vaksin. Apapun jenisnya, vaksin C0VID tetap aman &amp; ampuh menangkal virus mematikan itu.

Segera vaksin biar keluarga kita aman dari bahaya. #VaksinasiMerata dari Sabang sampai Merauke bakal terus digelar sampe kita bahagia.😍 https://t.co/A7nLziMqZq",Twitter for Android,https://t.co/A7nLziMqZq
"Masyarakat Harus Waspada Terhadap Hasutan dan Provokasi Dari Kelompok-Kelompok Eks HTI, FPI Dan Ormas Anti Pancasila Yang Ingin Mengganggu Keamanan dan Ketertiban Masyarakat..!!

Vaksin Sukseskan PON https://t.co/8s2tZdfIHs",Twitter Web App,https://t.co/8s2tZdfIHs
