,Text,URL
0,"['[SALAH] “Ancaman Krisis Ekonomi, SBY: Saya Ingin Membantu, Tapi Partai Saya Tidak Ada di Dalam Pemerintahan”']",https://turnbackhoax.id/2021/02/16/salah-ancaman-krisis-ekonomi-sby-saya-ingin-membantu-tapi-partai-saya-tidak-ada-di-dalam-pemerintahan/
1,['[SALAH] Krisis Ekonomi di Perancis Disebabkan oleh Pemboikotan Produk Perancis'],https://turnbackhoax.id/2020/11/06/salah-krisis-ekonomi-di-perancis-disebabkan-oleh-pemboikotan-produk-perancis/
2,['[SALAH] Kawasan Johor Baru Malaysia Terdampak Ekonomi Pandemi Covid-19'],https://turnbackhoax.id/2020/10/27/salah-kawasan-johor-baru-malaysia-terdampak-ekonomi-pandemi-covid-19/
3,"['[SALAH] “Resesi di Depan Mata, Jokowi Minta Semua Gubernur Tiru Kerja Keras Anies Selamatkan Ekonomi”']",https://turnbackhoax.id/2020/09/10/salah-resesi-di-depan-mata-jokowi-minta-semua-gubernur-tiru-kerja-keras-anies-selamatkan-ekonomi/
4,['[SALAH] Pernyataan Jokowi Ekonomi Indonesia Terjun Bebas Tidak Diberi Utang Lagi'],https://turnbackhoax.id/2020/08/23/salah-pernyataan-jokowi-ekonomi-indonesia-terjun-bebas-tidak-diberi-utang-lagi/
5,"['[SALAH] Video “EKONOMI RI MAKIN MEROSOT & HANCUR, JOKOWI ANGKAT TANGAN ‘MENYERAH’ & MINTA PRABOWO SELAMATKAN NKRI”']",https://turnbackhoax.id/2020/08/18/salah-video-ekonomi-ri-makin-merosot-hancur-jokowi-angkat-tangan-menyerah-minta-prabowo-selamatkan-nkri/
6,['[SALAH] Data Pertumbuhan Ekonomi Aceh'],https://turnbackhoax.id/2020/08/07/salah-data-pertumbuhan-ekonomi-aceh/
7,"['[SALAH] Video Ekonomi Makin Hancur & Terlilit Utang, Jokowi Terancam Serahkan Indonesia pada China']",https://turnbackhoax.id/2020/07/02/salah-video-ekonomi-makin-hancur-terlilit-utang-jokowi-terancam-serahkan-indonesia-pada-china/
8,['[SALAH] “BEDA KELAS. DULU KLAS VVIP. SEKARANG KELAS. EKONOMI”'],https://turnbackhoax.id/2020/06/03/salah-beda-kelas-dulu-klas-vvip-sekarang-kelas-ekonomi/
9,['[SALAH] BOS SAMSUNG BUKA KEDOK EKONOMI INDONESIA MACET TOTAL DIBAWAH JKW'],https://turnbackhoax.id/2019/11/23/salah-bos-samsung-buka-kedok-ekonomi-indonesia-macet-total-dibawah-jkw/
10,"['[KLARIFIKASI] “Pria Ini Siram Karpet Masjid Dengan Air Kencing, Diduga Stres Akibat Himpitan Ekonomi”']",https://turnbackhoax.id/2017/12/23/klarifikasi-pria-ini-siram-karpet-masjid-dengan-air-kencing-diduga-stres-akibat-himpitan-ekonomi/
11,['[SALAH] Penjualan Kalender Police News 2022 oleh Polda Jateng Seharga Rp100 Ribu'],https://turnbackhoax.id/2021/10/11/salah-penjualan-kalender-police-news-2022-oleh-polda-jateng-seharga-rp100-ribu/
12,"['[SALAH] Video “BERITA VIRAL ~ YUSRIL GANDENG HOTMAN PARIS, BIKIN SBY & AHY TAK TERTOLONG ~ BERITA TERBARU”']",https://turnbackhoax.id/2021/10/08/salah-video-berita-viral-yusril-gandeng-hotman-paris-bikin-sby-ahy-tak-tertolong-berita-terbaru/
13,['[SALAH] Alipay dari Alibaba Menggunakan Nama E-Money DANA agar tidak dicurigai Rakyat'],https://turnbackhoax.id/2021/10/08/salah-alipay-dari-alibaba-menggunakan-nama-e-money-dana-agar-tidak-dicurigai-rakyat/
14,"['[SALAH] “Pemimpin Cerminan Pemilihnya, Cina dulu, Cina sekarang”']",https://turnbackhoax.id/2021/10/05/salah-pemimpin-cerminan-pemilihnya-cina-dulu-cina-sekarang/
15,['[SALAH] Video “BERITA TERKINI ~ AKHIR TR4GIS JKW SRIMUL B0C0RKAN SEMUA ~ NEWS VIRAL JOKOWI”'],https://turnbackhoax.id/2021/10/03/salah-video-berita-terkini-akhir-tr4gis-jkw-srimul-b0c0rkan-semua-news-viral-jokowi/
16,"['[SALAH] Narasi “Mulai tanggal 6 kemarin siap2 kedepan beli lotek, cendol, seblak, cireng, cilok dan sebagainya bisa jadi wajib oleh yuan”']",https://turnbackhoax.id/2021/09/30/salah-narasi-mulai-tanggal-6-kemarin-siap2-kedepan-beli-lotek-cendol-seblak-cireng-cilok-dan-sebagainya-bisa-jadi-wajib-oleh-yuan/
17,['[SALAH] Lowongan Kerja PT Otoritas Jasa Keuangan'],https://turnbackhoax.id/2021/09/30/salah-lowongan-kerja-pt-otoritas-jasa-keuangan/
18,['[SALAH] PPKM diperpanjang Bansos dihentikan'],https://turnbackhoax.id/2021/09/26/salah-ppkm-diperpanjang-bansos-dihentikan/
19,['[SALAH] Cuitan dengan Foto Tangkapan Layar “Umur 10 Tahun Jokowi Sudah Hafal Alquran 40 juz”'],https://turnbackhoax.id/2021/09/25/salah-cuitan-dengan-foto-tangkapan-layar-umur-10-tahun-jokowi-sudah-hafal-alquran-40-juz/
0,['[SALAH] Foto Poster Pengumuman Nikah Gratis di KUA se-Sulawesi Selatan'],https://turnbackhoax.id/2021/08/27/salah-foto-poster-pengumuman-nikah-gratis-di-kua-se-sulawesi-selatan/
1,['[SALAH] Grab Berikan Bantuan Sembako Senilai Rp80 Ribu untuk Warga Surabaya'],https://turnbackhoax.id/2021/08/17/salah-grab-berikan-bantuan-sembako-senilai-rp80-ribu-untuk-warga-surabaya/
2,['[SALAH] Bantuan Subsidi Upah KEMNAKER Meminta Data Calon Penerima'],https://turnbackhoax.id/2021/08/14/salah-bantuan-subsidi-upah-kemnaker-meminta-data-calon-penerima/
3,['[SALAH] Rockefeller Foundation Telah Rencanakan Skenario Pandemi Covid-19 Sejak 2010'],https://turnbackhoax.id/2021/08/14/salah-rockefeller-foundation-telah-rencanakan-skenario-pandemi-covid-19-sejak-2010/
4,['[SALAH] “Perlawanan rakyat Australia akan rencana New World Order”'],https://turnbackhoax.id/2021/08/12/salah-perlawanan-rakyat-australia-akan-rencana-new-world-order/
5,['[SALAH] Covid-19 Bermutasi Menjadi Virus Baru yang Lebih Berbahaya dan Vaksinasi Timbulkan Virus Lain Dari Covid-19'],https://turnbackhoax.id/2021/08/08/salah-covid-19-bermutasi-menjadi-virus-baru-yang-lebih-berbahaya-dan-vaksinasi-timbulkan-virus-lain-dari-covid-19/
6,['[SALAH] Dokumen Bank Dunia Tetapkan Covid-19 Sampai Tahun 2025'],https://turnbackhoax.id/2021/08/08/salah-dokumen-bank-dunia-tetapkan-covid-19-sampai-tahun-2025/
7,"['[SALAH] “Mobil Dinas Presiden Baru, Harga berkisar 12 M, Dibeli Tahun 2020 saat Pandemi Copid”']",https://turnbackhoax.id/2021/07/31/salah-mobil-dinas-presiden-baru-harga-berkisar-12-m-dibeli-tahun-2020-saat-pandemi-copid/
8,['[SALAH] Pemerintah Indonesia Kirim Bantuan Rp224 Miliar untuk Banjir di Cina Tengah'],https://turnbackhoax.id/2021/07/30/salah-pemerintah-indonesia-kirim-bantuan-rp224-miliar-untuk-banjir-di-cina-tengah/
9,['[SALAH] Ketersediaan Ventilator Cukup Memadai dan Obat Ivermectin Sudah Akan Diproduksi Massal'],https://turnbackhoax.id/2021/07/04/salah-ketersediaan-ventilator-cukup-memadai-dan-obat-ivermectin-sudah-akan-diproduksi-massal/
10,['[SALAH] Covid-19 Tidak Mematikan'],https://turnbackhoax.id/2021/06/26/salah-covid-19-tidak-mematikan/
11,['[SALAH] Pesan Berantai “SANDIWARA CORONA” dari Ikatan Dokter Indonesia (IDI)'],https://turnbackhoax.id/2021/06/23/salah-pesan-berantai-sandiwara-corona-dari-ikatan-dokter-indonesia-idi/
12,['[SALAH] Lowongan Pekerjaan di PT. Freeport Indonesia'],https://turnbackhoax.id/2021/06/07/salah-lowongan-pekerjaan-di-pt-freeport-indonesia/
13,['[SALAH] Anies Baswedan Donasikan Dana untuk Palestina dari Uang Pribadi dan Karyawan Pemda DKI'],https://turnbackhoax.id/2021/05/20/salah-anies-baswedan-donasikan-dana-untuk-palestina-dari-uang-pribadi-dan-karyawan-pemda-dki/
14,"['[SALAH] “Rizieq Kena Lagi, Sekarang Giliran PKB: Dengar Bib, Hukum Berlaku Buat Semua, Tak Peduli..Kau Ini Siapa? Ini Indonesia,Bukan Negaramu Yaman,Tahu Kamu?”']",https://turnbackhoax.id/2021/05/09/salah-rizieq-kena-lagi-sekarang-giliran-pkb-dengar-bib-hukum-berlaku-buat-semua-tak-peduli-kau-ini-siapa-ini-indonesiabukan-negaramu-yamantahu-kamu/
15,['[SALAH] Tidak Ada Karangan Bunga Kepada Awak KRI Nanggala 402'],https://turnbackhoax.id/2021/05/05/salah-tidak-ada-karangan-bunga-kepada-awak-kri-nanggala-402/
16,['[SALAH] Bantuan Sosial Tunai (BST) 600 Ribu Sudah Dapat Dicairkan'],https://turnbackhoax.id/2021/04/25/salah-bantuan-sosial-tunai-bst-600-ribu-sudah-dapat-dicairkan/
17,['[SALAH] “Tol japek ganti nama Sheikh Mohammed bin Zayed?alias di jual”'],https://turnbackhoax.id/2021/04/13/salah-tol-japek-ganti-nama-sheikh-mohammed-bin-zayedalias-di-jual/
18,['[SALAH] Foto Jendral Uni Soviet'],https://turnbackhoax.id/2021/04/11/salah-foto-jendral-uni-soviet/
19,['[SALAH] Gambar artikel berjudul “Luhut Sebut Sejak Kecil Jokowi Sudah Hafal 40 Juz Alquran”'],https://turnbackhoax.id/2021/04/08/salah-gambar-artikel-berjudul-luhut-sebut-sejak-kecil-jokowi-sudah-hafal-40-juz-alquran/
0,['[SALAH] Video “MELEDAKNYA PERTAMINA DI INDRAMAYU.. MOBIL MEWAH IKUT TERBAKAR”'],https://turnbackhoax.id/2021/04/02/salah-video-meledaknya-pertamina-di-indramayu-mobil-mewah-ikut-terbakar/
1,['[SALAH] Penemu Mobil Berbahan Bakar Air Dibunuh'],https://turnbackhoax.id/2021/03/31/salah-penemu-mobil-berbahan-bakar-air-dibunuh/
2,['[SALAH] Vaksinasi Covid-19 untuk Warga Non DKI Jakarta di Istora Senayan'],https://turnbackhoax.id/2021/03/14/salah-vaksinasi-covid-19-untuk-warga-non-dki-jakarta-di-istora-senayan/
3,['[SALAH] “Ruang Kerja Anies Baswedan di Geledah KPK”'],https://turnbackhoax.id/2021/03/14/salah-ruang-kerja-anies-baswedan-di-geledah-kpk/
4,['[SALAH] Video “DPR BONGKAR DANA HARAM ANIES ~ BERITA TERBARU HARI INI 4 MARET 2021 USAHA MIRAS DKI JAKARTA”'],https://turnbackhoax.id/2021/03/05/salah-video-dpr-bongkar-dana-haram-anies-berita-terbaru-hari-ini-4-maret-2021-usaha-miras-dki-jakarta/
5,['[SALAH] “Jokowi Menerima Hadiah Lukisan Langka Berwajah Sultan Arab”'],https://turnbackhoax.id/2021/03/03/salah-jokowi-menerima-hadiah-lukisan-langka-berwajah-sultan-arab/
6,"['[SALAH] Bantuan 3,5 Juta dari Pemerintah untuk Seluruh Pemilik E-KTP']",https://turnbackhoax.id/2021/02/27/salah-bantuan-35-juta-dari-pemerintah-untuk-seluruh-pemilik-e-ktp/
7,"['[SALAH] “Covid-19 BUKAN Virus, Sumber : Kementerian Kesehatan Italy”']",https://turnbackhoax.id/2021/02/14/salah-covid-19-bukan-virus-sumber-kementerian-kesehatan-italy/
8,['[SALAH] Fadli Zon Dipecat dari Jabatan Waketum Gerindra'],https://turnbackhoax.id/2021/02/11/salah-fadli-zon-dipecat-dari-jabatan-waketum-gerindra/
9,['[SALAH] Uang Redenominasi Pecahan Rp100 Bergambar Jokowi'],https://turnbackhoax.id/2021/02/10/salah-uang-redenominasi-pecahan-rp100-bergambar-jokowi/
10,"['[SALAH] “Jokowi Ternyata Sudah Pakai Rp.38,5 Triliun Dana Haji, Jamaah Tak Diberitahu”']",https://turnbackhoax.id/2021/02/09/salah-jokowi-ternyata-sudah-pakai-rp-385-triliun-dana-haji-jamaah-tak-diberitahu/
11,['[SALAH] Daftar Harga Tiket Pesawat Ke Bandara di Purbalingga'],https://turnbackhoax.id/2021/02/07/salah-daftar-harga-tiket-pesawat-ke-bandara-di-purbalingga/
12,['[SALAH] Gubernur Anies Baswedan Bangun Bandara JB Soedirman di Purbalingga'],https://turnbackhoax.id/2021/02/07/salah-gubernur-anies-baswedan-bangun-bandara-jb-soedirman-di-purbalingga/
13,['[SALAH] “Anies Pastikan Tolak Utang Luar Negeri Jika Pimpinan RI”'],https://turnbackhoax.id/2021/02/03/salah-anies-pastikan-tolak-utang-luar-negeri-jika-pimpinan-ri/
14,['[SALAH] SMS Berhadiah Cek Rp35.000.000 Dari BRI'],https://turnbackhoax.id/2021/02/01/salah-sms-berhadiah-cek-rp35-000-000-dari-bri/
15,"['[SALAH] Anak 10 Bulan Ikut Ditahan, Akibat Sang Ibu Ketahuan Mencuri']",https://turnbackhoax.id/2021/01/31/salah-anak-10-bulan-ikut-ditahan-akibat-sang-ibu-ketahuan-mencuri/
16,['[SALAH] Bank Indonesia Cetak Uang 300 Triliyun'],https://turnbackhoax.id/2021/01/29/salah-bank-indonesia-cetak-uang-300-triliyun/
17,"['[SALAH] Kartel Narkoba Lolos, Presiden Filipina Beri Peringatan pada Jokowi']",https://turnbackhoax.id/2021/01/25/salah-kartel-narkoba-lolos-presiden-filipina-beri-peringatan-pada-jokowi/
18,['[SALAH] “Ada 32 hotel di Jakarta untuk ISOLASI MANDIRI yang biayanya Ditanggung Pemerintah”'],https://turnbackhoax.id/2021/01/23/salah-ada-32-hotel-di-jakarta-untuk-isolasi-mandiri-yang-biayanya-ditanggung-pemerintah/
19,"['[SALAH] ARTIKEL “TENDANG JEFF BEZOS, ELON MUSK KINI ORANG TERKAYA DI DUNIA BERKAT VTUBE”']",https://turnbackhoax.id/2021/01/12/salah-artikel-tendang-jeff-bezos-elon-musk-kini-orang-terkaya-di-dunia-berkat-vtube/
0,['[SALAH] Jawa-Bali Lockdown pada Tanggal 11-25 Januari 2021'],https://turnbackhoax.id/2021/01/09/salah-jawa-bali-lockdown-pada-tanggal-11-25-januari-2021/
1,['[SALAH] Link Survei Pendirian Bank Syariah Muhammadiyah'],https://turnbackhoax.id/2021/01/02/salah-link-survei-pendirian-bank-syariah-muhammadiyah/
2,['[SALAH] “GELOMBANG KE-3 Kuota Internet Free dari Operator!”'],https://turnbackhoax.id/2020/12/29/salah-gelombang-ke-3-kuota-internet-free-dari-operator/
3,['[SALAH] “Mantan PM Jepang Minta Maaf Karena Pakai Uang Jokowi untuk Pesta Makan Malam”'],https://turnbackhoax.id/2020/12/27/salah-mantan-pm-jepang-minta-maaf-karena-pakai-uang-jokowi-untuk-pesta-makan-malam/
4,"['[SALAH] Tak dapat Bansos, Keluarga Ilma Kerap Makan Tepung Goreng']",https://turnbackhoax.id/2020/12/22/salah-tak-dapat-bansos-keluarga-ilma-kerap-makan-tepung-goreng/
5,['[SALAH] “IDI tolak yg Pertama dpt Vaksin Sinovac China”'],https://turnbackhoax.id/2020/12/15/salah-idi-tolak-yg-pertama-dpt-vaksin-sinovac-china/
6,['[SALAH] Cover Majalah Tempo Berjudul “SANG DALANG PERUSAK BHINNEKA”'],https://turnbackhoax.id/2020/12/10/salah-cover-majalah-tempo-berjudul-sang-dalang-perusak-bhinneka/
7,['[SALAH] Link Untuk Mendapatkan 35 GB Kuota Gratis dari Operator'],https://turnbackhoax.id/2020/12/09/salah-link-untuk-mendapatkan-35-gb-kuota-gratis-dari-operator/
8,['[SALAH] “Surat Dari K.H. Mustofa Bisri (Gus Mus) di Whatsapp”'],https://turnbackhoax.id/2020/12/07/salah-surat-dari-k-h-mustofa-bisri-gus-mus-di-whatsapp/
9,['[SALAH] Pemasangan Barcode pada Badan Manusia'],https://turnbackhoax.id/2020/12/06/salah-pemasangan-barcode-pada-badan-manusia/
10,['[SALAH] Air Garam Sumber Energi Listrik'],https://turnbackhoax.id/2020/11/30/salah-air-garam-sumber-energi-listrik/
11,['[SALAH] Presentase Bunuh Diri Naik 200% Selama Lockdown'],https://turnbackhoax.id/2020/11/21/salah-presentase-bunuh-diri-naik-200-selama-lockdown/
12,['[SALAH] Luhut Pandjaitan Dirawat di Belgia'],https://turnbackhoax.id/2020/11/20/salah-luhut-sitompul-dirawat-di-belgia/
13,['[SALAH] Indonesia Tawarkan Amerika Serikat Bangun Pangkalan Militer di Kepulauan Natuna'],https://turnbackhoax.id/2020/11/20/salah-indonesia-tawarkan-amerika-serikat-bangun-pangkalan-militer-di-kepulauan-natuna/
14,"['[SALAH] “ide menarik banget dari Kwik Kian Gie, Ayo, mulai 05 November s.d 05 Desember 2020 jangan belanja di mall”']",https://turnbackhoax.id/2020/11/12/salah-ide-menarik-banget-dari-kwik-kian-gie-ayo-mulai-05-november-s-d-05-desember-2020-jangan-belanja-di-mall/
15,['[SALAH] Formulir Online untuk Banpres Produktif oleh Kementerian Koperasi dan UKM'],https://turnbackhoax.id/2020/11/10/salah-formulir-online-untuk-banpres-produktif-oleh-kementerian-koperasi-dan-ukm/
16,['[FALSE] Economic Crisis in France Caused by Boycott of French Products'],https://turnbackhoax.id/2020/11/09/false-economic-crisis-in-france-caused-by-boycott-of-french-products/
17,['[SALAH] Pandemi Telah Berakhir dan Covid-19 Adalah Flu Biasa'],https://turnbackhoax.id/2020/10/25/salah-pandemi-telah-berakhir-dan-covid-19-adalah-flu-biasa/
18,['[SALAH] Tulisan Penolakan Omnibus Law oleh Dahlan Iskan'],https://turnbackhoax.id/2020/10/15/salah-tulisan-penolakan-omnibus-law-oleh-dahlan-iskan/
19,['[SALAH] Objek Wisata Pangandaran akan Ditutup'],https://turnbackhoax.id/2020/10/11/salah-objek-wisata-pangandaran-akan-ditutup/
0,['[SALAH] “Cie ga pake masker cie berdekatan cie lupa ada corona cie selfi bareng”'],https://turnbackhoax.id/2020/10/08/salah-cie-ga-pake-masker-cie-berdekatan-cie-lupa-ada-corona-cie-selfi-bareng/
1,['[SALAH] Video Aksi Tolak UU Cipta Kerja di Bandung'],https://turnbackhoax.id/2020/10/08/salah-video-aksi-tolak-uu-cipta-kerja-di-bandung/
2,['[SALAH] “Anies Borong Celana Dalam Cewek”'],https://turnbackhoax.id/2020/10/02/salah-anies-borong-celana-dalam-cewek/
3,['[SALAH] Kamala Harris: “Datang dari India ke Jamaika untuk Mengeksploitasi Budak Kulit Hitam”'],https://turnbackhoax.id/2020/10/01/salah-kamala-harris-datang-dari-india-ke-jamaika-untuk-mengeksploitasi-budak-kulit-hitam/
4,['[SALAH] “Cina mentargetkan 100 jt penduduk indonesia mati melalui vaksin cina”'],https://turnbackhoax.id/2020/10/01/salah-cina-mentargetkan-100-jt-penduduk-indonesia-mati-melalui-vaksin-cina/
5,['[SALAH] “Kartu ATM Nasabah BRI yang berwarna Biru GPN Akan Segera Diblokir Otomatis oleh Sistem”'],https://turnbackhoax.id/2020/09/29/salah-kartu-atm-nasabah-bri-yang-berwarna-biru-gpn-akan-segera-diblokir-otomatis-oleh-sistem/
6,['[SALAH] Artikel Detik.com “Trans Studio Bandung Tutup Mulai Hari ini Untuk Cegah Penyebaran Virus Corona di Bandung”'],https://turnbackhoax.id/2020/09/28/salah-artikel-detik-com-trans-studio-bandung-tutup-mulai-hari-ini-untuk-cegah-penyebaran-virus-corona-di-bandung/
7,['[SALAH] Sultan HB X Sebut Positif-Negatif Covid-19 Sama Saja Karena Semua Orang Pasti Meninggal'],https://turnbackhoax.id/2020/09/25/salah-sultan-hb-x-sebut-positif-negatif-covid-19-sama-saja-karena-semua-orang-pasti-meninggal/
8,"['[SALAH] “Breaking News! Pilkada Serentak Ditunda, Kecuali Solo dan Medan”']",https://turnbackhoax.id/2020/09/23/salah-breaking-news-pilkada-serentak-ditunda-kecuali-solo-dan-medan/
9,['[SALAH] Pencipta PR untuk Pertama Kalinya Bernama Roberto Nevilis'],https://turnbackhoax.id/2020/09/21/salah-pencipta-pr-untuk-pertama-kalinya-bernama-roberto-nevilis/
10,"['[SALAH] “Ketika di vaksin, microchip yg sangat kecil dipasang tanpa terasa, New Dajjal siap membunuh 7.5 milyard manusia”']",https://turnbackhoax.id/2020/09/19/salah-ketika-di-vaksin-microchip-yg-sangat-kecil-dipasang-tanpa-terasa-new-dajjal-siap-membunuh-7-5-milyard-manusia/
11,['[Top 5] Topik Teratas Periksa Fakta MAFINDO Periode 5–11 September 2020'],https://turnbackhoax.id/2020/09/16/top-5-topik-teratas-periksa-fakta-mafindo-periode-5-11-september-2020/
12,['[SALAH] “Anies dapat instruksi dari ‘KAMI’ agar lakukan PSBB total beberapa bulan”'],https://turnbackhoax.id/2020/09/14/salah-anies-dapat-instruksi-dari-kami-agar-lakukan-psbb-total-beberapa-bulan/
13,['[SALAH] “Gibran ngimpi akan bebasin Palestina dari Israel”'],https://turnbackhoax.id/2020/09/10/salah-gibran-ngimpi-akan-bebasin-palestina-dari-israel/
14,['[SALAH] “Lambang NU Rezim Now”'],https://turnbackhoax.id/2020/09/08/salah-lambang-nu-rezim-now/
15,['[SALAH] Pesan WhatsApp Soal KemenBUMN Angkat Advisor Gaji Minimal Rp40 Juta'],https://turnbackhoax.id/2020/09/05/salah-pesan-whatsapp-soal-kemenbumn-angkat-advisor-gaji-minimal-rp40-juta/
16,['[SALAH] Akun Instagram BPJS Ketenagakerjaan Bernama “bpjs.pencairan.blt”'],https://turnbackhoax.id/2020/09/04/salah-akun-instagram-bpjs-ketenagakerjaan-bernama-bpjs-pencairan-blt/
17,['[SALAH] Perdana Menteri Jepang Mundur Karena Terkait Virus Corona'],https://turnbackhoax.id/2020/09/02/salah-perdana-menteri-jepang-mundur-karena-terkait-virus-corona/
18,['[SALAH] Pabrik Mobil Esemka di China'],https://turnbackhoax.id/2020/09/02/salah-pabrik-mobil-esemka-di-china/
19,"['[SALAH] Soal Tuduhan Jokowi Anti Islam, Luhut: Umur 10 Tahun Beliau Sudah Hafal Alquran 40 Juz']",https://turnbackhoax.id/2020/08/31/salah-soal-tuduhan-jokowi-anti-islam-luhut-umur-10-tahun-beliau-sudah-hafal-alquran-40-juz/
