Username,Isi Tweet,URL
Berita Harian,"#BHdunia Ketika negara maju memulakan pemberian vaksin penggalak, 96 peratus populasi negara berpendapatan rendah belum divaksin.
https://t.co/bz0aYaUUwE",https://t.co/bz0aYaUUwE
Kintan ♚,"Herannya, kok orang ini bisa lolos terus ya tiap pinjem duit di bank. Gimana sih sebenernya? Pdhl kan ruwet bgt kehidupan ekonominya. Tiap utang, langsung cair. Ngalah2in yg ga ada masalah ekonomi.",ekonomi.
Jawa Pos,Pameran UMKM Masih Sepi Pengunjung https://t.co/0rfQ9qvyb5,https://t.co/0rfQ9qvyb5
DetikFinance,"Subway Indonesia resmi buka cabang pertamanya di Cilandak Town Square, Jakarta Selatan hari ini. Penasaran berapa harga menu makanan dan minuman di sini? https://t.co/2aWJCCGbcy",https://t.co/2aWJCCGbcy
MedcomID,Teknologi Injeksi Uap Tingkatkan Produksi Minyak di Lapangan Duri https://t.co/EDOVfYNKOQ,https://t.co/EDOVfYNKOQ
HUMAS POLRES ACEH JAYA,"Pemberian Vaksin Covid-19 Bertujuan Untuk Mengurangi Penularan Virus Corona, Menurunkan Angka Kesakitan dan Kematian, Mencapai Herd Immunity di Masyarakat, Melindungi Masyarakat dari Covid-19 agar tetap Produktif secara Sosial dan Ekonomi

#SatlantasPolresAcehJaya
#Polresacehjaya https://t.co/DuwkUmBjAC",https://t.co/DuwkUmBjAC
Arik Ubaidillah,"Ikhtiar pemulihan ekonomi nasional
Penyerahan bantuan handtraktor kepada 3 kelompok tani Desa Glingseran
@halimiskandarnu @yusradaridesa @tppkemendes @kemendespdtt @kpw4jatim @andiono_putra @barnaba30022639 @sutrisno689 https://t.co/PjNvB8AwcZ",https://t.co/PjNvB8AwcZ
#KabarBaik,"Indonesia butuh strategi besar untuk dorong pertumbuhan ekonomi yang tinggi agar keluar dari jebakan negara berpenghasilan menengah atau middle income trap.

Salah satu game changer yang diambil pemerintahan Jokowi adalah berinvestasi menuju ekonomi hijau yg berkelanjutan. https://t.co/OknWuzk3wW",https://t.co/OknWuzk3wW
jj 🇲🇾,Bagus presiden umno. Bantu ekonomi bali. 😆 https://t.co/HJ9612GNtQ,https://t.co/HJ9612GNtQ
m.,GUE GA REMED EKONOMI😭😭 AAAA ALHAMDULILLAH,ALHAMDULILLAH
DetikFinance,"Badan Pusat Statistik (BPS) mencatat impor Indonesia di sepanjang September 2021 mencapai US$ 16,23 miliar. https://t.co/mTsyPjP4nS",https://t.co/mTsyPjP4nS
kageyama lagi joki tugas,"36. Jasa Tulis
materi: ekonomi

[repeating order 🥰]
#testiakageyamatobio https://t.co/ndSs6aHBSH",https://t.co/ndSs6aHBSH
Akmal Fitra,"@ImusJulianto Dongkrak ekonomi Papua

Jokowi Membangun Negeri",Negeri
detikcom,"Restoran ini mempunyai tiga bintang Michelin. Sekali makan di sini, kamu harus menyiapkan sekitar Rp 4,8 juta per orang. Menunya apa saja sih? https://t.co/r0EMj1xUoa",https://t.co/r0EMj1xUoa
salma,@jaystwaddle astaghfirullah gue phobia ekonomi😣😣😣😣,ekonomi😣😣😣😣
Tilik,IEA: Krisis Energi Dapat Mengancam Pemulihan Ekonomi Global https://t.co/uKsT5VIlzN,https://t.co/uKsT5VIlzN
andra .◜◡◝,ekonomi tuh asik kalo ngerti awoskeokd,awoskeokd
BERNAMA,"Petronas sumbang tablet kepada 100 pelajar untuk pembelajaran dalam talian

https://t.co/OjY8cl6eQq https://t.co/Iygsu66UC0",https://t.co/Iygsu66UC0
idx_channel,"Badan Pusat Statistik (BPS) melaporkan kinerja ekspor pada bulan September mencapai USD20,60 miliar. #Ekonomi

https://t.co/Iypzp9klO5",https://t.co/Iypzp9klO5
Mohamad Raihan ,"Ayah : Hukum (UI)
Ibu : Pertanian (UNPAD)
Kakak (1) Cewe : Tek.Sipil (UNPAR)
Kakak Ipar : Tek.Mesin (UNAND)
Kakak (2) Cowo : Tek.Sipil (ITENAS)
Kakak Ipar : Tek.Informatika (UNPAD)
Kakak (3) Cewe : Matematika (ITB)
Kakak Ipar : Tek.Pertambangan (ITB)
Gue : Ekonomi (UNPAR) https://t.co/mzoByMRRRN",https://t.co/mzoByMRRRN
BPKH RI,"dihadiri oleh pembicara yang sangat kompeten, yaitu:

&gt; Dr. Indra Gunawan, SE., SIP., MSc - Deputi Bidang Investasi Surat Berharga dan Emas BPKH
&gt; Dr. Cupian, SE., MT - Kepala Program Studi Ekonomi Islam Universitas Padjadjaran

Selain itu akan ada pembukaan dan sambutan dari",dari
FEBRI WAHYUNI,"Kita bisa mengikuti Malaysia yang memisahkan pusat pemerintahan dan ekonomi Negaranya. Terlebih Indonesia sebagai Negara Kepulauan, sudah seharusnya Pusat Pemerintahan berada dilokasi yang mudah diakses oleh Rakyat dari Sabang hingga Merauke.
https://t.co/tWTsUkdXXZ",https://t.co/tWTsUkdXXZ
